area,district,latitude,longitude,money,orientation,plot,street,subway,time,typ
157㎡,大兴,39.75179,116.342654,7200,朝南 北,兴华园,枣园,距离4号线大兴线-清源路474m距离4号线大兴线-枣园891m,2019-03-18,3室2厅2卫
47㎡,大兴,39.737223,116.354638,3000,朝南 北,观音寺新区,观音寺,,2019-03-17,1室1厅1卫
68㎡,大兴,39.797633,116.350111,4500,朝南,整租,西红门,,2019-03-18,1室1厅1卫
74㎡,大兴,39.811008,116.431358,4000,朝西南,美宅湾,旧宫,距离8号线南段-火箭万源946m,2019-03-16,2室1厅1卫
95㎡,大兴,39.799417,116.348786,7000,朝南 北,整租,西红门,距离4号线大兴线-西红门1197m,2019-03-03,2室1厅1卫
95㎡,大兴,39.780149,116.344557,5500,朝东 南,整租,郁花园,距离4号线大兴线-高米店北498m,2019-03-15,3室1厅1卫
87㎡,大兴,39.760335,116.338397,5800,朝南,整租,枣园,距离4号线大兴线-枣园18m距离4号线大兴线-高米店南708m,2019-03-16,2室1厅1卫
100㎡,大兴,39.813718,116.441424,5800,朝南 北,云龙家园,旧宫,,2019-02-24,2室1厅1卫
84㎡,大兴,39.797448,116.342803,5500,朝南 北,整租,西红门,距离4号线大兴线-西红门624m,2019-03-15,2室2厅1卫
51㎡,大兴,39.686151,116.325989,3450,朝西南,云立方,天宫院,距离4号线大兴线-生物医药基地586m距离4号线大兴线-天宫院912m,2019-03-17,1室1厅1卫
87㎡,大兴,39.760335,116.338397,5600,朝南,整租,枣园,距离4号线大兴线-枣园18m距离4号线大兴线-高米店南708m,2019-03-16,2室1厅1卫
80㎡,大兴,39.812545,116.449764,4700,朝南 北,清欣园甲区,旧宫,,2019-03-20,2室1厅1卫
81㎡,丰台,39.880022,116.236608,5500,朝南 北,整租,青塔,,2019-03-16,2室1厅1卫
88㎡,丰台,39.851219,116.359122,7000,朝南 北,整租,草桥,距离10号线-草桥283m,2019-03-16,2室1厅1卫
53㎡,丰台,39.866703,116.27072,3800,朝南,整租,五里店,距离14号线西段-郭庄子1158m,2019-03-16,2室1厅1卫
77㎡,丰台,39.842691,116.309431,6200,朝东北,整租,玉泉营,距离9号线-科怡路358m距离9号线-丰台南路1108m,2019-03-22,1室1厅1卫
46㎡,丰台,39.897262,116.269851,4100,朝南,整租,青塔,,2019-03-16,1室1厅1卫
57㎡,朝阳,39.860543,116.446891,4800,朝北,四方景园四区,成寿寺,,2019-03-20,1室1厅1卫
90㎡,丰台,39.842054,116.346139,6000,朝南 北,整租,玉泉营,,2019-03-16,2室1厅1卫
52㎡,,39.864094,116.445885,6200,朝西,亚胜铂第公馆,,距离14号线东段-方庄1017m,2019-03-15,1房间1卫
97㎡,丰台,39.855628,116.361773,7600,朝南,整租,草桥,距离10号线-草桥718m,2019-03-16,2室1厅1卫
138㎡,丰台,39.876404,116.329675,10500,朝南,整租,马连道,,2019-03-15,3室1厅2卫
69㎡,丰台,39.868935,116.397839,5800,朝东南,整租,西罗园,"距离14号线东段,8号线南段-永定门外1117m距离4号线大兴线,14号线东段-北京南站1146m",2019-03-15,2室1厅1卫
62㎡,丰台,39.852874,116.387828,5600,朝东 西,整租,角门,"距离10号线-角门东230m距离4号线大兴线,10号线-角门西608m距离4号线大兴线-马家堡1070m",2019-03-17,2室1厅1卫
136㎡,丰台,39.850164,116.319224,12000,朝南 北,万年花城,玉泉营,距离10号线-首经贸578m距离10号线-丰台站1141m,2019-03-15,3室2厅2卫
38㎡,丰台,39.845707,116.391671,4800,朝东,很舒适的居家精装房，适合精致的客户,马家堡,距离10号线-角门东702m,2019-03-16,1房间1卫
52㎡,丰台,39.888524,116.28512,4800,朝西,第七街区,岳各庄,,2019-03-15,1室0厅1卫
83㎡,丰台,39.866749,116.441833,8000,朝南 北,芳星园三区,方庄,"距离14号线东段-方庄505m距离5号线-刘家窑924m距离5号线,14号线东段-蒲黄榆1111m",2019-03-14,3室1厅1卫
61㎡,东城,39.870997,116.394788,4500,朝南 北,西罗园北路,永定门,"距离4号线大兴线,14号线东段-北京南站922m",2019-03-14,2室1厅1卫
105㎡,丰台,39.858193,116.270328,5200,朝东,整租,五里店,,2019-03-22,2室1厅1卫
111㎡,丰台,39.82227,116.340929,7000,朝东 南 北,天伦锦城,花乡,,2019-03-14,3室1厅1卫
48㎡,丰台,39.864377,116.423673,4500,朝南,整租,蒲黄榆,"距离5号线-刘家窑387m距离5号线,14号线东段-蒲黄榆1193m",2019-03-15,2室1厅1卫
67㎡,丰台,39.853178,116.423311,5500,朝东北,石榴园北里小区,刘家窑,"距离10号线-石榴庄193m距离5号线,10号线,亦庄线-宋家庄635m距离5号线-刘家窑940m",2019-03-17,2室1厅1卫
112㎡,丰台,39.864885,116.309591,8500,朝东南 北,整租,丽泽,距离10号线-泥洼36m距离9号线-丰台东大街969m,2019-03-14,3室2厅2卫
77㎡,丰台,39.851605,116.404524,5200,朝南 北,整租,大红门,距离10号线-大红门64m距离8号线南段-海户屯890m距离10号线-角门东1000m距离8号线南段-大红门南1016m,2019-03-14,1室1厅1卫
40㎡,石景山,39.909302,116.224441,4200,朝南,整租,鲁谷,距离1号线-八角游乐园830m,2019-03-24,1室1厅1卫
131㎡,石景山,39.900574,116.212671,8500,朝南 北,整租,八角,,2019-03-17,3室2厅2卫
54㎡,石景山,39.942654,116.142885,3200,朝南 北,高井中学教工楼,石景山其它,,2019-03-15,1室1厅1卫
88㎡,石景山,39.90706,116.258281,12000,朝南,整租,鲁谷,距离1号线-玉泉路552m,2019-01-21,2室1厅1卫
52㎡,丰台,39.841402,116.409524,5000,朝南 北,大红门南里,赵公口,距离8号线南段-大红门南97m距离10号线-大红门1139m,2019-03-14,2室1厅1卫
84㎡,丰台,39.86394,116.291308,6500,朝东南,整租,北大地,距离9号线-丰台东大街1047m,2019-03-14,2室1厅1卫
84㎡,石景山,39.935694,116.205944,5400,朝南 北,黄南苑,杨庄,距离6号线-杨庄931m距离6号线-西黄村1141m,2019-03-10,2室1厅1卫
44㎡,石景山,39.906502,116.239132,4500,朝南,永乐东区,鲁谷,距离1号线-八宝山542m,2019-03-08,1室1厅1卫
59㎡,石景山,39.906862,116.233785,4200,朝南 北,整租,鲁谷,距离1号线-八宝山1008m,2019-03-21,2室1厅1卫
47㎡,石景山,39.913822,116.189448,4300,朝南 北,十万坪,古城,距离1号线-古城437m,2019-03-20,2室0厅1卫
67㎡,石景山,39.916082,116.210318,5500,朝南 北,整租,八角,距离1号线-古城576m距离1号线-八角游乐园980m,2019-03-12,2室1厅1卫
60㎡,石景山,39.940346,116.17517,4500,朝东 西,整租,苹果园,,2019-03-20,2室1厅1卫
77㎡,丰台,39.852874,116.387828,5100,朝南 北,角门东里,角门,"距离10号线-角门东230m距离4号线大兴线,10号线-角门西608m距离4号线大兴线-马家堡1070m",2019-03-14,2室1厅1卫
55㎡,石景山,39.910707,116.234237,7200,朝东南,整租,鲁谷,距离1号线-八宝山899m,2019-03-15,2房间2卫
70㎡,石景山,39.895397,116.236175,4500,朝南 北,整租,鲁谷,,2019-03-08,2室1厅1卫
48㎡,丰台,39.844248,116.373314,5300,朝北,星河城西区,马家堡,"距离4号线大兴线-公益西桥331m距离4号线大兴线,10号线-角门西868m",2019-03-18,1室1厅1卫
74㎡,石景山,39.935915,116.188426,5400,朝南 北,整租,苹果园,距离1号线-苹果园379m距离6号线-杨庄521m,2019-03-18,2室1厅1卫
37㎡,丰台,39.852519,116.426586,4500,朝北,首开石榴派,刘家窑,"距离10号线-石榴庄611m距离5号线,10号线,亦庄线-宋家庄633m",2019-03-13,1房间1卫
87㎡,石景山,39.900574,116.212671,6800,朝南,整租,八角,,2019-03-20,2室1厅1卫
67㎡,石景山,39.929244,116.203017,4200,朝东,杨庄中区,杨庄,距离6号线-杨庄1021m,2019-03-14,1室1厅1卫
67㎡,石景山,39.897509,116.236947,4800,朝东,重兴嘉园,鲁谷,,2019-03-20,1室1厅1卫
51㎡,石景山,39.926618,116.193689,4200,朝南,古城地铁车辆段,杨庄,距离6号线-杨庄949m,2019-03-14,1室1厅1卫
49㎡,石景山,39.906502,116.239132,4900,朝南 北,永乐东区,鲁谷,距离1号线-八宝山542m,2019-03-22,2室1厅1卫
65㎡,海淀,39.914677,116.253062,5800,朝南 北,整租,玉泉路,距离1号线-玉泉路598m,2019-03-17,2室1厅1卫
146㎡,石景山,39.939312,116.210647,11000,朝东南,整租,苹果园,距离6号线-西黄村73m,2019-03-20,3室1厅2卫
136㎡,石景山,39.906426,116.247008,14000,朝东 南 北,整租,鲁谷,距离1号线-八宝山636m,2019-03-20,3室2厅2卫
128㎡,海淀,39.914666,116.251259,13000,朝南 北,整租,玉泉路,距离1号线-玉泉路696m距离1号线-八宝山841m,2019-03-15,3室1厅2卫
64㎡,大兴,39.692186,116.319905,3800,朝北,珺悦国际,天宫院,距离4号线大兴线-生物医药基地835m,2019-03-23,2房间1卫
108㎡,大兴,39.726464,116.353344,4800,朝南 北,宇丰苑,观音寺,,2019-02-25,2室1厅1卫
89㎡,大兴,39.765149,116.495794,4000,朝南 北,南海家园五里,大兴其它,,2019-03-23,2室1厅1卫
89㎡,大兴,39.765149,116.495794,4000,朝南 北,南海家园五里,大兴其它,,2019-03-23,2室1厅1卫
86㎡,大兴,39.758038,116.321155,3900,朝南 北,整租,枣园,,2019-02-25,2室1厅1卫
153㎡,大兴,39.781506,116.325341,7200,朝南 北,顺驰领海,黄村北,距离4号线大兴线-高米店北916m,2019-03-23,3室2厅2卫
80㎡,大兴,39.75617,116.373424,3500,朝西,首座御园二区二期,大兴其它,,2019-03-22,1室1厅1卫
